pit_tag,date,visist.per.id,nest.id,sex,band.number,habitat,Number.of.SOSP.nestlings,SOSP.Age,Number.of.BHCO.Nestlings,year,Cuckolding.identified.by.any.method.95.,cuck.95,Cuckolding.identified.by.any.method.80.,X..of.epp.offspring.in.nest,X..of.offspring.sampled.that.are.epp
0620000A5D,0019-07-05T04:56:02Z,4.053945358,37sjl19,male,277149546,urban,4,9,0,2019,0,no,0,0,0
0620000A5D,0019-06-03T04:56:02Z,4.67117394,37sjl19,male,277149546,urban,4,8,0,2019,0,no,0,0,0
0620000A5D,0019-05-30T04:56:02Z,6.751366914,37sjl19,male,277149546,urban,4,1,0,2019,0,no,0,0,0
0620000A5D,0019-06-02T04:56:02Z,7.521772091,37sjl19,male,277149546,urban,4,4,0,2019,0,no,0,0,0
0620000A5D,0019-05-31T04:56:02Z,8.965876143,37sjl19,male,277149546,urban,4,2,0,2019,0,no,0,0,0
0620000A5D,0019-06-01T04:56:02Z,9.127176466,37sjl19,male,277149546,urban,4,3,0,2019,0,no,0,0,0
620000179,0019-07-12T04:56:02Z,3.923563177,62sjl19,male,277149417,urban,2,9,0,2019,0,no,0,0,0
620000179,0019-07-06T04:56:02Z,6.055005175,62sjl19,male,277149417,urban,2,3,0,2019,0,no,0,0,0
620000179,0019-07-11T04:56:02Z,6.236700876,62sjl19,male,277149417,urban,2,8,0,2019,0,no,0,0,0
620000179,0019-07-07T04:56:02Z,6.372844238,62sjl19,male,277149417,urban,2,4,0,2019,0,no,0,0,0
620000179,0019-07-09T04:56:02Z,6.743198383,62sjl19,male,277149417,urban,2,6,0,2019,0,no,0,0,0
620000179,0019-07-04T04:56:02Z,6.853051483,62sjl19,male,277149417,urban,2,1,0,2019,0,no,0,0,0
620000179,0019-07-10T04:56:02Z,7.723736497,62sjl19,male,277149417,urban,2,7,0,2019,0,no,0,0,0
620000179,0019-07-08T04:56:02Z,7.751937984,62sjl19,male,277149417,urban,2,5,0,2019,0,no,0,0,0
620000179,0019-07-05T04:56:02Z,7.830342577,62sjl19,male,277149417,urban,2,2,0,2019,0,no,0,0,0
0620000AED,0019-07-13T04:56:02Z,1.356647573,64sjl19,male,282192847,rural,2,6,0,2019,0,no,0,0,0
0620000AED,0019-07-07T04:56:02Z,2.062755798,64sjl19,male,282192847,rural,1,0,0,2019,0,no,0,0,0
0620000AED,0019-07-08T04:56:02Z,2.18214881,64sjl19,male,282192847,rural,2,1,0,2019,0,no,0,0,0
0620000AED,0019-07-09T04:56:02Z,2.517149498,64sjl19,male,282192847,rural,2,2,0,2019,0,no,0,0,0
0620000AED,0019-07-10T04:56:02Z,3.060998152,64sjl19,male,282192847,rural,2,3,0,2019,0,no,0,0,0
0620000AED,0019-07-11T04:56:02Z,3.421861895,64sjl19,male,282192847,rural,2,4,0,2019,0,no,0,0,0
0620000AED,0019-07-12T04:56:02Z,4.241948154,64sjl19,male,282192847,rural,2,5,0,2019,0,no,0,0,0
0620000A62,0019-06-14T04:56:02Z,4.051970932,43sjl19,female,164192462,urban,2,9,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-14T04:56:02Z,5.963855422,43sjl19,male,164192461,urban,2,9,1,2019,1,yes,1,1,0.5
0620000A62,0019-06-13T04:56:02Z,7.076741035,43sjl19,female,164192462,urban,2,8,1,2019,1,yes,1,1,0.5
0620000A62,0019-06-10T04:56:02Z,7.759263865,43sjl19,female,164192462,urban,3,5,1,2019,1,yes,1,1,0.5
0620000A62,0019-06-11T04:56:02Z,8.138466973,43sjl19,female,164192462,urban,3,6,1,2019,1,yes,1,1,0.5
